epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,259.913,0.8354,0.47405,0.00199,0.93426,0.88183,0.94435,0.81182,0.70346,0.41304,0.00248,0.0017624,0.0017624,0.0017624
14,279.107,0.8122,0.46385,0.00195,0.92795,0.87797,0.94211,0.81137,0.7109,0.40469,0.00253,0.0017426,0.0017426,0.0017426
15,298.1,0.80646,0.4485,0.00193,0.94667,0.89245,0.95175,0.8172,0.68859,0.36844,0.00253,0.0017228,0.0017228,0.0017228
16,316.957,0.80693,0.43581,0.00193,0.94499,0.90609,0.95574,0.82464,0.67646,0.34779,0.00235,0.001703,0.001703,0.001703
17,335.721,0.7915,0.43339,0.0019,0.92989,0.8778,0.93688,0.78258,0.75351,0.41748,0.00273,0.0016832,0.0016832,0.0016832
18,354.42,0.78431,0.43043,0.00187,0.95264,0.89445,0.95586,0.82835,0.66833,0.34811,0.00229,0.0016634,0.0016634,0.0016634
19,373.296,0.79158,0.42553,0.00191,0.94605,0.87051,0.95067,0.8083,0.72127,0.39222,0.0026,0.0016436,0.0016436,0.0016436
20,392.07,0.78277,0.42924,0.00187,0.92775,0.91631,0.95714,0.83795,0.63324,0.35076,0.00224,0.0016238,0.0016238,0.0016238
21,410.961,0.76126,0.40687,0.00181,0.94724,0.90975,0.95827,0.82962,0.66389,0.33471,0.00241,0.001604,0.001604,0.001604
22,429.631,0.76661,0.41246,0.00182,0.93963,0.91743,0.96141,0.84112,0.63728,0.34716,0.00223,0.0015842,0.0015842,0.0015842
23,448.331,0.75775,0.40296,0.00182,0.94856,0.90796,0.96004,0.83909,0.6403,0.33531,0.00221,0.0015644,0.0015644,0.0015644
24,467,0.75386,0.40869,0.00179,0.93911,0.91003,0.9596,0.853,0.59473,0.32574,0.00196,0.0015446,0.0015446,0.0015446
25,485.771,0.74169,0.39119,0.00176,0.95881,0.90383,0.95976,0.83701,0.64316,0.31632,0.00226,0.0015248,0.0015248,0.0015248
26,504.415,0.74299,0.40057,0.0018,0.94946,0.91301,0.95934,0.84048,0.64201,0.32982,0.0023,0.001505,0.001505,0.001505
27,523.179,0.7343,0.39982,0.00172,0.95278,0.89729,0.9597,0.83773,0.64983,0.3273,0.00225,0.0014852,0.0014852,0.0014852
28,541.893,0.73441,0.38794,0.00175,0.9413,0.9121,0.95758,0.83434,0.64895,0.34051,0.00222,0.0014654,0.0014654,0.0014654
29,560.602,0.72157,0.37376,0.00173,0.94591,0.91417,0.96595,0.86224,0.59125,0.31028,0.00201,0.0014456,0.0014456,0.0014456
30,579.304,0.71908,0.36337,0.00166,0.94093,0.91003,0.9547,0.84092,0.62122,0.33593,0.0021,0.0014258,0.0014258,0.0014258
31,597.985,0.72255,0.37247,0.00168,0.94667,0.91003,0.96336,0.8469,0.64266,0.33213,0.00218,0.001406,0.001406,0.001406
32,616.625,0.72142,0.37605,0.00167,0.96178,0.91074,0.96468,0.85638,0.60589,0.30868,0.00207,0.0013862,0.0013862,0.0013862
33,635.281,0.72035,0.36847,0.00168,0.96266,0.90635,0.9597,0.84639,0.61561,0.30778,0.00211,0.0013664,0.0013664,0.0013664
34,654.006,0.71825,0.36756,0.00172,0.952,0.90796,0.95994,0.8362,0.66045,0.34581,0.00234,0.0013466,0.0013466,0.0013466
35,672.701,0.70488,0.36325,0.00164,0.9456,0.91677,0.96081,0.85291,0.601,0.30809,0.00208,0.0013268,0.0013268,0.0013268
36,691.267,0.70285,0.36554,0.00164,0.95584,0.92244,0.96173,0.85377,0.60285,0.29875,0.00208,0.001307,0.001307,0.001307
37,709.997,0.68927,0.35547,0.0016,0.96218,0.92244,0.96752,0.8595,0.58583,0.29295,0.00203,0.0012872,0.0012872,0.0012872
38,728.73,0.69797,0.35891,0.00165,0.95404,0.92295,0.96665,0.85772,0.58898,0.30908,0.00197,0.0012674,0.0012674,0.0012674
39,747.448,0.70242,0.36453,0.00164,0.9595,0.931,0.96733,0.87168,0.56816,0.28871,0.00198,0.0012476,0.0012476,0.0012476
40,766.172,0.69867,0.34355,0.00165,0.96795,0.91624,0.96586,0.85863,0.58821,0.28142,0.002,0.0012278,0.0012278,0.0012278
41,784.789,0.67629,0.34025,0.00157,0.9384,0.92347,0.96549,0.87503,0.55671,0.29399,0.00186,0.001208,0.001208,0.001208
42,803.512,0.68636,0.34752,0.00159,0.95263,0.91313,0.96524,0.8631,0.58045,0.28819,0.00196,0.0011882,0.0011882,0.0011882
