epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,2253.47,0.23052,0.24612,0.79689,0.92169,0.62206,0.7481,0.74553,0.13172,0.22119,0.75397,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2291.94,0.23197,0.24693,0.79923,0.92996,0.61867,0.75025,0.74753,0.13004,0.21912,0.75376,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2330.24,0.22848,0.24401,0.79818,0.93336,0.61608,0.75227,0.74945,0.13162,0.22312,0.75415,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2369.4,0.22678,0.24299,0.7967,0.92277,0.6224,0.75044,0.7481,0.12901,0.22098,0.75432,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2409.06,0.22752,0.24034,0.79763,0.92174,0.62524,0.74906,0.74672,0.12656,0.21643,0.75329,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2447.58,0.2264,0.23899,0.79607,0.92538,0.62204,0.74904,0.74649,0.12802,0.2206,0.7532,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2485.84,0.22406,0.23916,0.79746,0.92273,0.62584,0.75122,0.74819,0.12631,0.22122,0.75291,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2524.4,0.22242,0.23615,0.79728,0.9238,0.62702,0.75176,0.74927,0.12648,0.21468,0.7531,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2564.04,0.22116,0.23426,0.79723,0.92635,0.6244,0.75464,0.75223,0.1257,0.21175,0.75367,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2603.04,0.22173,0.23386,0.79793,0.92456,0.62805,0.75509,0.75251,0.12556,0.21172,0.75414,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2641.41,0.21849,0.2304,0.79694,0.93137,0.62465,0.75416,0.75198,0.1249,0.20876,0.75452,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2679.84,0.21894,0.23231,0.79724,0.92401,0.62744,0.75221,0.74993,0.12414,0.20638,0.75429,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2718.98,0.21775,0.23128,0.79578,0.92982,0.62469,0.75423,0.75173,0.12331,0.20685,0.75362,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2758.55,0.21695,0.22887,0.79591,0.93841,0.61883,0.75607,0.75368,0.12376,0.20816,0.75382,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2797.17,0.21533,0.225,0.79585,0.92672,0.62597,0.75729,0.75491,0.12281,0.20778,0.75399,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2835.57,0.21371,0.22372,0.79427,0.92948,0.62412,0.75844,0.75638,0.12176,0.2058,0.75383,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2874.06,0.21369,0.22452,0.79507,0.92515,0.62667,0.75827,0.75621,0.12139,0.20508,0.75353,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2913.35,0.21248,0.22177,0.7952,0.93242,0.6206,0.7582,0.75583,0.12101,0.20438,0.75317,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2952.62,0.21282,0.22217,0.79573,0.92674,0.62343,0.75866,0.75661,0.12056,0.20486,0.75299,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2991.45,0.20928,0.21864,0.79404,0.92579,0.62494,0.75906,0.75688,0.12097,0.2055,0.75237,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,3029.9,0.20792,0.21848,0.79319,0.93443,0.62164,0.75921,0.75696,0.12095,0.20571,0.7521,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,3068.38,0.20713,0.21582,0.79314,0.92891,0.62517,0.75934,0.75735,0.12052,0.20425,0.75225,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,3107.64,0.20545,0.21676,0.79428,0.92381,0.62681,0.75966,0.75771,0.12001,0.20455,0.75199,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3146.31,0.20438,0.21079,0.79326,0.93305,0.6202,0.7605,0.75848,0.119,0.20373,0.752,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3184.73,0.20237,0.2108,0.79274,0.92834,0.62325,0.76122,0.75918,0.11913,0.20528,0.75188,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3223.31,0.20183,0.20997,0.79221,0.93272,0.61992,0.76159,0.7594,0.11848,0.20703,0.7517,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3262.46,0.19952,0.20566,0.79165,0.93137,0.62018,0.76206,0.7598,0.11794,0.20643,0.75159,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3302.33,0.20001,0.20493,0.79287,0.92849,0.62275,0.76256,0.76041,0.11787,0.20551,0.75158,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
